EventID,DonationID,DonorID,MunicipalityID,GiftID,DonationAmountYen,DonatedAt,PaymentMethod,WorkshopRunId,ParticipantAlias,SourceFile,PublishedAtUtc
EVT-FRS-004879,6004879,2011671,452050,3005041,20000,2026-08-11T07:00:11Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-003023,6003023,2008263,462233,3001459,12000,2026-08-11T07:04:02Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002542,6002542,2006457,232262,3001292,50000,2026-08-11T07:04:13Z,銀行振込,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008925,6008925,2002374,122165,3002111,10000,2026-08-11T07:26:43Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002171,6002171,2003801,222062,3005156,10000,2026-08-11T07:27:37Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-010525,6010525,2002683,232335,3005639,20000,2026-08-11T07:30:26Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-012448,6012448,2010395,112330,3001908,25000,2026-08-11T07:36:13Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-006854,6006854,2001432,222143,3004509,15000,2026-08-11T07:37:02Z,銀行振込,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-003883,6003883,2010234,312011,3001340,20000,2026-08-11T07:37:36Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-012166,6012166,2010486,142018,3000919,20000,2026-08-11T07:40:26Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-004110,6004110,2008541,232378,3001880,15000,2026-08-11T07:42:55Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001865,6001865,2011597,232262,3000856,25000,2026-08-11T07:44:13Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-003099,6003099,2006572,052027,3001852,30000,2026-08-11T07:51:40Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-000638,6000638,2000913,062120,3000130,15000,2026-08-11T07:56:11Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-005161,6005161,2010416,382043,3002011,8000,2026-08-11T08:00:56Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-014655,6014655,2000229,402044,3000720,5000,2026-08-11T08:01:34Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-010254,6010254,2009086,272132,3000119,15000,2026-08-11T08:02:47Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-005588,6005588,2004663,013323,3003148,10000,2026-08-11T08:08:35Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002882,6002882,2004520,112178,3005619,12000,2026-08-11T08:10:31Z,銀行振込,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011051,6011051,2009468,464821,3001863,20000,2026-08-11T08:16:21Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002048,6002048,2002180,272132,3005617,10000,2026-08-11T08:16:40Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011178,6011178,2002939,162086,3000308,10000,2026-08-11T08:16:50Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008014,6008014,2009498,452025,3002265,100000,2026-08-11T08:23:10Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-007364,6007364,2001075,402044,3000720,30000,2026-08-11T08:23:22Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-003189,6003189,2007198,432032,3005216,10000,2026-08-11T08:26:48Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001267,6001267,2003846,082341,3000228,30000,2026-08-11T08:27:13Z,銀行振込,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001386,6001386,2009673,023043,3004598,30000,2026-08-11T08:37:16Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008257,6008257,2004183,272175,3005968,10000,2026-08-11T08:44:42Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-000943,6000943,2011821,281000,3000078,15000,2026-08-11T08:45:42Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008905,6008905,2002194,012173,3003495,10000,2026-08-11T08:49:22Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011599,6011599,2001118,012173,3003495,25000,2026-08-11T08:50:56Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-012687,6012687,2003369,452025,3003435,10000,2026-08-11T08:52:56Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-010456,6010456,2003392,182095,3003265,10000,2026-08-11T08:53:20Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001612,6001612,2010315,122335,3002881,10000,2026-08-11T08:59:50Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-014676,6014676,2003736,402125,3003281,12000,2026-08-11T09:00:56Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-006331,6006331,2002699,322041,3005714,15000,2026-08-11T09:04:10Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-009794,6009794,2009470,082112,3003621,15000,2026-08-11T09:04:30Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008189,6008189,2005925,012149,3001903,10000,2026-08-11T09:08:09Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-005565,6005565,2008338,016659,3002807,20000,2026-08-11T09:10:41Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001870,6001870,2007877,142051,3001926,10000,2026-08-11T09:11:15Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008947,6008947,2005283,422088,3005641,30000,2026-08-11T09:12:58Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-009883,6009883,2000869,372072,3003596,12000,2026-08-11T09:14:58Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-004392,6004392,2000415,082201,3002857,70000,2026-08-11T09:16:49Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-004708,6004708,2001112,232211,3003507,10000,2026-08-11T09:32:27Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-000681,6000681,2010090,252018,3004932,50000,2026-08-11T09:35:42Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-001569,6001569,2010179,152048,3004422,20000,2026-08-11T09:36:31Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008696,6008696,2004137,212067,3001953,10000,2026-08-11T09:36:41Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-006504,6006504,2008111,202061,3001397,25000,2026-08-11T09:37:58Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011419,6011419,2008151,442143,3000579,10000,2026-08-11T09:39:51Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002238,6002238,2006215,322067,3005994,40000,2026-08-11T09:41:22Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-009120,6009120,2011338,222208,3000646,10000,2026-08-11T09:43:31Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-013347,6013347,2000956,202029,3003172,15000,2026-08-11T09:45:01Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011490,6011490,2001773,012149,3001903,15000,2026-08-11T09:52:51Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-013176,6013176,2007014,282162,3004266,8000,2026-08-11T09:53:31Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011162,6011162,2008776,162060,3004561,12000,2026-08-11T09:55:17Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008686,6008686,2003241,013471,3004581,30000,2026-08-11T09:55:19Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-002875,6002875,2009156,042021,3001467,15000,2026-08-11T09:56:17Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-000086,6000086,2000235,232335,3005639,15000,2026-08-11T09:58:38Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008770,6008770,2006806,222151,3000002,10000,2026-08-11T10:02:44Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011306,6011306,2004616,232157,3000502,20000,2026-08-11T10:05:27Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-004540,6004540,2004034,022063,3004120,20000,2026-08-11T10:05:47Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-011283,6011283,2001084,282138,3001058,8000,2026-08-11T10:07:56Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-012992,6012992,2011556,412023,3004246,10000,2026-08-11T10:08:04Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-000660,6000660,2008463,141003,3005776,15000,2026-08-11T10:14:02Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-008082,6008082,2007652,192091,3001868,30000,2026-08-11T10:18:32Z,コンビニ決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-006141,6006141,2004350,122254,3002882,15000,2026-08-11T10:25:30Z,電子決済,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-014303,6014303,2008064,204099,3002283,10000,2026-08-11T10:25:34Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
EVT-FRS-010721,6010721,2005217,382035,3003658,12000,2026-08-11T10:29:19Z,クレジットカード,increment-run-002,workshop-participant,donation_events_002.csv,2026-08-21T14:20:02Z
